31811,"대한민국의 바다를 지키는 해양경찰의 이야기를 담은 드라마. 바다를 터전삼아 살아가는 이들의 사랑과 일. 삶을 그린 드라마이다. 배우로는 이성재, 이시영,시원, 정운택이 출연한다."
31812,모나리자호 공주가 백과사전을 들고 미술관련기법을 알려주며 여행을 떠나는 어린이만화이다.
31813,기성세대가 신세대를 이해할수 있도록 돕는 프로그램.
31814,<99인의 로맨스>는 한 주제에 대해 다양한 이야기를 가지고 있는 99인을 소개하는 휴먼 다큐입니다.9월 20일 첫 방송.
31815,"한국 음식을 주 소재로 삼아 어린이들에게 한식의 맛과 멋, 우수성을 알리고자 만든 한식요리 애니메이션이다."
31816,거침없이 하이킥'과 '지붕뚫고 하이킥'에 이은 하이킥 시리즈 3탄!!
